variable,description,variable_type,summary,summary for the subset,variable used in persistent leanness
gramshort46,Salty fish;Food intake converted to gram per day   (After 1995),C,mean : 1.19 ; min : 0 ; max : 250 ; sd : 3.69; missing values : 50502,mean : 1.11 ; min : 0 ; max : 250 ; sd : 2.69; missing values : 18279,N
gramshort47,Smoked fish/meat;Food intake converted to gram per day   (After 1995),C,mean : 1.1 ; min : 0 ; max : 100 ; sd : 2.8; missing values : 48913,mean : 1.09 ; min : 0 ; max : 100 ; sd : 2.58; missing values : 17656,N
gramshort48,Ice cream;Food intake converted to gram per day   (After 1995),C,mean : 5.79 ; min : 0 ; max : 288 ; sd : 7.51; missing values : 48913,mean : 5.97 ; min : 0 ; max : 272 ; sd : 6.92; missing values : 17656,N
gramshort49,Sweets (chocolate; candy);Food intake converted to gram per day   (After 1995),C,mean : 5.25 ; min : 0 ; max : 188 ; sd : 6.7; missing values : 48913,mean : 5.31 ; min : 0 ; max : 117.5 ; sd : 6.25; missing values : 17656,N
gramshort50,Sugar; honey;Food intake converted to gram per day   (After 1995),C,mean : 8.87 ; min : 0 ; max : 92 ; sd : 14.44; missing values : 48913,mean : 10.06 ; min : 0 ; max : 92 ; sd : 15.31; missing values : 17656,N
gramshort51,Cookies; pastry;Food intake converted to gram per day   (After 1995),C,mean : 7.56 ; min : 0 ; max : 184 ; sd : 11.05; missing values : 48913,mean : 7.95 ; min : 0 ; max : 184 ; sd : 10.84; missing values : 17656,N
gramshort52,Chips; salty nuts; popcorn;Food intake converted to gram per day   (After 1995),C,mean : 2.87 ; min : 0 ; max : 140 ; sd : 4.08; missing values : 48913,mean : 2.72 ; min : 0 ; max : 87.5 ; sd : 3.48; missing values : 17656,N
gramshort53,Milk; 0;5% fat;Food intake converted to gram per day   (After 1995),C,mean : 51.03 ; min : 0 ; max : 1040 ; sd : 121.64; missing values : 48913,mean : 54.65 ; min : 0 ; max : 800 ; sd : 123.23; missing values : 17656,N
gramshort54,Milk; sour milk; 1;5% fat;Food intake converted to gram per day   (After 1995),C,mean : 126.25 ; min : 0 ; max : 1040 ; sd : 161.14; missing values : 48913,mean : 130.08 ; min : 0 ; max : 1040 ; sd : 160.18; missing values : 17656,N
gramshort55,Milk; sour milk; 3% fat;Food intake converted to gram per day   (After 1995),C,mean : 25.03 ; min : 0 ; max : 1400 ; sd : 88.45; missing values : 48913,mean : 21.59 ; min : 0 ; max : 1400 ; sd : 80.42; missing values : 17656,N
gramshort56,Sodas (e.g. Coca-cola);Food intake converted to gram per day   (After 1995),C,mean : 63.37 ; min : 0 ; max : 1066.68 ; sd : 105.02; missing values : 48913,mean : 63.85 ; min : 0 ; max : 1066.68 ; sd : 99.82; missing values : 17656,N
gramshort57,Brewed (filtered) coffee;Food intake converted to gram per day   (After 1995),C,mean : 299.63 ; min : 0 ; max : 800 ; sd : 205.87; missing values : 48913,mean : 304.36 ; min : 0 ; max : 800 ; sd : 203.09; missing values : 17656,N
gramshort58,Boilded coffee;Food intake converted to gram per day   (After 1995),C,mean : 73.57 ; min : 0 ; max : 800 ; sd : 151.56; missing values : 48913,mean : 80.04 ; min : 0 ; max : 800 ; sd : 155.42; missing values : 17656,N
gramshort59,Tea;Food intake converted to gram per day   (After 1995),C,mean : 145.79 ; min : 0 ; max : 1000 ; sd : 203.2; missing values : 48913,mean : 153.76 ; min : 0 ; max : 1000 ; sd : 202.6; missing values : 17656,N
gramshort60,Light beer;Food intake converted to gram per day   (After 1995),C,mean : 19.97 ; min : 0 ; max : 1320 ; sd : 57.22; missing values : 48913,mean : 22.7 ; min : 0 ; max : 1320 ; sd : 57.47; missing values : 17656,N
gramshort61,Medium beer;Food intake converted to gram per day   (After 1995),C,mean : 17.68 ; min : 0 ; max : 1400 ; sd : 42.8; missing values : 48913,mean : 19.48 ; min : 0 ; max : 1400 ; sd : 42.12; missing values : 17656,N
gramshort62,Strong beer;Food intake converted to gram per day   (After 1995),C,mean : 19.84 ; min : 0 ; max : 2000 ; sd : 38.11; missing values : 48913,mean : 18.9 ; min : 0 ; max : 1250 ; sd : 32.14; missing values : 17656,N
gramshort63,Wine;Food intake converted to gram per day   (After 1995),C,mean : 20.68 ; min : 0 ; max : 1100 ; sd : 30.25; missing values : 48913,mean : 20.83 ; min : 0 ; max : 687.5 ; sd : 27.96; missing values : 17656,N
gramshort64,Liquor; spirits;Food intake converted to gram per day   (After 1995),C,mean : 2.21 ; min : 0 ; max : 336 ; sd : 5.12; missing values : 48913,mean : 2.27 ; min : 0 ; max : 210 ; sd : 4.75; missing values : 17656,N
ensum1,Total energy intake (kcal/day)  ,C,mean : 1725.59 ; min : 23.08 ; max : 25537.67 ; sd : 681.91; missing values : 16892,mean : 1745.33 ; min : 688.37 ; max : 4363.79 ; sd : 528.99; missing values : 1977,Y
protsum1,Protein (g/day),C,mean : 63.44 ; min : 0.96 ; max : 1275.09 ; sd : 26.73; missing values : 16892,mean : 63.49 ; min : 11.28 ; max : 206.27 ; sd : 20.11; missing values : 1977,Y
protsum1_anim,Animal based protein (g/day),C,mean : 45.31 ; min : 0.13 ; max : 1018.27 ; sd : 21.36; missing values : 16892,mean : 44.99 ; min : 0.13 ; max : 195.8 ; sd : 16.26; missing values : 1977,N
protsum1_veg,Plant based protein (g/day),C,mean : 18.15 ; min : 0.15 ; max : 258.2 ; sd : 8.43; missing values : 16102,mean : 18.52 ; min : 0.25 ; max : 83.97 ; sd : 6.85; missing values : 1614,N
kolhsum1,Carbohydrates (g/day),C,mean : 203.85 ; min : 2.23 ; max : 2661.25 ; sd : 85.44; missing values : 16892,mean : 209.64 ; min : 17.72 ; max : 663.42 ; sd : 68.74; missing values : 1977,Y
sacksum1,Sucrose (g/day),C,mean : 26.91 ; min : 0.11 ; max : 376.01 ; sd : 17.91; missing values : 16892,mean : 27.55 ; min : 0.77 ; max : 178.93 ; sd : 15.97; missing values : 1977,Y
DISAsum1,Disaccharides (g/day),C,mean : 49.11 ; min : 0.45 ; max : 542.7 ; sd : 24.97; missing values : 16892,mean : 50.66 ; min : 3.99 ; max : 242.42 ; sd : 22.35; missing values : 1977,N
MOSAsum1,Monosaccharides (g/day),C,mean : 24.5 ; min : 0.2 ; max : 258.67 ; sd : 12.97; missing values : 16892,mean : 25.48 ; min : 1.87 ; max : 135.93 ; sd : 11.85; missing values : 1977,N
fibesum1,Fibre (g/day),C,mean : 18.42 ; min : 0.18 ; max : 239.18 ; sd : 8.22; missing values : 16892,mean : 18.9 ; min : 0.72 ; max : 78.2 ; sd : 7.01; missing values : 1977,Y
FULLKsum1,Whole grain (g/day),C,mean : 66.09 ; min : 0 ; max : 553.26 ; sd : 37.54; missing values : 16892,mean : 69.16 ; min : 0 ; max : 323.25 ; sd : 34.83; missing values : 1977,N
alkosum1,Alcohol (g/day),C,mean : 4.24 ; min : 0 ; max : 325.86 ; sd : 5.11; missing values : 11600,mean : 4.33 ; min : 0 ; max : 123.62 ; sd : 4.71; missing values : 0,Y
fettsum1,Fat (g/day),C,mean : 68.09 ; min : 0.94 ; max : 1080.14 ; sd : 32.09; missing values : 16892,mean : 67.54 ; min : 10.52 ; max : 297.24 ; sd : 25.92; missing values : 1977,Y
mfetsum1,Saturated fat (g/day),C,mean : 28.51 ; min : 0.39 ; max : 401.72 ; sd : 14.44; missing values : 16892,mean : 28.12 ; min : 2.97 ; max : 151.84 ; sd : 11.91; missing values : 1977,Y
MONOsum1,Monounsaturated fat (g/day),C,mean : 23.25 ; min : 0.32 ; max : 402.52 ; sd : 11.18; missing values : 16892,mean : 23.18 ; min : 3.05 ; max : 101.43 ; sd : 9.14; missing values : 1977,Y
POLYsum1,Polyunsaturated fat (g/day),C,mean : 10.79 ; min : 0.1 ; max : 201.37 ; sd : 6.02; missing values : 16892,mean : 10.77 ; min : 1.9 ; max : 74.51 ; sd : 5.1; missing values : 1977,Y
TRANSsum1,Trans fat (g/day),C,mean : 1.65 ; min : 0.01 ; max : 40.83 ; sd : 1.24; missing values : 16892,mean : 1.74 ; min : 0.01 ; max : 15.33 ; sd : 1.22; missing values : 1977,N
kolesum1,Cholesterol (g/day),C,mean : 0.2 ; min : 0 ; max : 4.47 ; sd : 0.1; missing values : 16892,mean : 0.2 ; min : 0.01 ; max : 0.95 ; sd : 0.08; missing values : 1977,N
FA140_sum1,Formic acid (g/day),C,mean : 3.24 ; min : 0.04 ; max : 42.67 ; sd : 1.87; missing values : 16892,mean : 3.2 ; min : 0.11 ; max : 21.71 ; sd : 1.61; missing values : 1977,N
FA160_sum1,Palmitic acid (g/day),C,mean : 14.43 ; min : 0.18 ; max : 221.13 ; sd : 6.99; missing values : 16892,mean : 14.31 ; min : 1.97 ; max : 73.01 ; sd : 5.71; missing values : 1977,N
FA182_sum1,Linoleic acid (g/day),C,mean : 7.82 ; min : 0.07 ; max : 139.49 ; sd : 4.74; missing values : 16892,mean : 7.83 ; min : 1.47 ; max : 59.71 ; sd : 4.08; missing values : 1977,Y
FA183_sum1,Linolenic acid (g/day),C,mean : 1.58 ; min : 0.01 ; max : 26.8 ; sd : 0.84; missing values : 16892,mean : 1.6 ; min : 0.26 ; max : 9.48 ; sd : 0.73; missing values : 1977,Y
FA204_sum1,Arachidonic acid (g/day),C,mean : 0.09 ; min : 0 ; max : 6.02 ; sd : 0.06; missing values : 16368,mean : 0.09 ; min : 0 ; max : 2.82 ; sd : 0.05; missing values : 1768,Y
FA205_sum1,Eicosapentaenoic acid; EPA (g/day),C,mean : 0.07 ; min : 0 ; max : 5.52 ; sd : 0.08; missing values : 16892,mean : 0.07 ; min : 0 ; max : 2.74 ; sd : 0.06; missing values : 1977,Y
FA226_sum1,Docosahexaenoic acid; DHA (g/day),C,mean : 0.15 ; min : 0 ; max : 10.64 ; sd : 0.16; missing values : 16892,mean : 0.14 ; min : 0 ; max : 4.4 ; sd : 0.12; missing values : 1977,Y
FA150_sum1,Pentadecanoic acid (g/day),C,mean : 0.23 ; min : 0 ; max : 2.74 ; sd : 0.16; missing values : 23856,mean : 0.22 ; min : 0 ; max : 2.03 ; sd : 0.15; missing values : 2225,N
FA170_sum1,Heptadecanoic acid (g/day),C,mean : 0.13 ; min : 0 ; max : 1.59 ; sd : 0.09; missing values : 23856,mean : 0.13 ; min : 0 ; max : 1.18 ; sd : 0.09; missing values : 2225,N
MAGNsum1,Magnesium (mg/day),C,mean : 285.27 ; min : 2.97 ; max : 3657.33 ; sd : 105.99; missing values : 16892,mean : 292.65 ; min : 76.03 ; max : 1154.65 ; sd : 86.92; missing values : 1977,Y
NATRsum1,Sodium (mg/day),C,mean : 2051.54 ; min : 38.33 ; max : 51667.92 ; sd : 964.13; missing values : 16892,mean : 2056.72 ; min : 446.15 ; max : 16288.76 ; sd : 720.86; missing values : 1977,Y
FOSFsum1,Phosphate (mg/day),C,mean : 1154.09 ; min : 14.28 ; max : 17523.35 ; sd : 472.14; missing values : 16892,mean : 1174.16 ; min : 249.07 ; max : 4568.56 ; sd : 387.5; missing values : 1977,Y
selesum1,Selenium (µg/day),C,mean : 15.03 ; min : 0.23 ; max : 322.08 ; sd : 6.75; missing values : 16892,mean : 15.04 ; min : 3.08 ; max : 57.87 ; sd : 4.99; missing values : 1977,Y
ZINCsum1,Zinc (mg/day),C,mean : 22.92 ; min : 0.38 ; max : 611.55 ; sd : 11.35; missing values : 16892,mean : 22.59 ; min : 3 ; max : 145.87 ; sd : 8.15; missing values : 1977,Y
retisum1,Retinol; vitamin A (µg/day),C,mean : 8.09 ; min : 0.09 ; max : 128.79 ; sd : 3.31; missing values : 16892,mean : 8.2 ; min : 1.86 ; max : 28.73 ; sd : 2.64; missing values : 1977,Y
karosum1,Beta-carotene (µg/day),C,mean : 0.6 ; min : 0 ; max : 8.53 ; sd : 0.36; missing values : 16892,mean : 0.61 ; min : 0.03 ; max : 5.98 ; sd : 0.32; missing values : 1977,N
TIAMsum1,Tiamin (mg/day),C,mean : 4.24 ; min : 0.01 ; max : 52.51 ; sd : 4.69; missing values : 16892,mean : 4.36 ; min : 0.07 ; max : 45.85 ; sd : 4.66; missing values : 1977,Y
Folasum1,Folic acid (folate) (µg/day),C,mean : 1.19 ; min : 0.01 ; max : 16.08 ; sd : 0.49; missing values : 16892,mean : 1.21 ; min : 0.28 ; max : 4.38 ; sd : 0.41; missing values : 1977,Y
B2sum1,Riboflavin; vitamin B2 (mg/day),C,mean : 229.53 ; min : 2.42 ; max : 3243.96 ; sd : 104.71; missing values : 16892,mean : 235.12 ; min : 42.18 ; max : 1052.67 ; sd : 91.21; missing values : 1977,Y
NIACsum1,Niacin; nicotinic acid; vitamin B3 (mg/day),C,mean : 1.41 ; min : 0.02 ; max : 18.81 ; sd : 0.61; missing values : 16892,mean : 1.43 ; min : 0.3 ; max : 5.31 ; sd : 0.51; missing values : 1977,Y
B6sum1,Vitamin B6 (mg/day),C,mean : 1.88 ; min : 0.02 ; max : 34.04 ; sd : 0.8; missing values : 16892,mean : 1.92 ; min : 0.45 ; max : 9.29 ; sd : 0.64; missing values : 1977,Y
B12sum1,Vitamin B12 (µg/day),C,mean : 4.67 ; min : 0.03 ; max : 104.91 ; sd : 2.55; missing values : 16892,mean : 4.62 ; min : 0.03 ; max : 28.27 ; sd : 2.1; missing values : 1977,Y
askosum1,Ascorbite acid; vitamin C (mg/day),C,mean : 72.62 ; min : 0.45 ; max : 816.6 ; sd : 48.76; missing values : 16892,mean : 74.57 ; min : 0.71 ; max : 535.69 ; sd : 45.45; missing values : 1977,Y
Dsum1,Vitamin D (µg/day),C,mean : 5.32 ; min : 0.07 ; max : 119.43 ; sd : 2.62; missing values : 16892,mean : 5.35 ; min : 0.63 ; max : 33.19 ; sd : 2.16; missing values : 1977,Y
tokosum1,Tocopherol; vitamin E (mg/day),C,mean : 6.25 ; min : 0.08 ; max : 95.72 ; sd : 2.74; missing values : 16892,mean : 6.38 ; min : 1.55 ; max : 31.05 ; sd : 2.3; missing values : 1977,Y
VITKsum1,Vitamin K (µg/day),C,mean : 3.8 ; min : 0 ; max : 70.88 ; sd : 2.54; missing values : 16892,mean : 3.89 ; min : 0 ; max : 29.11 ; sd : 2.33; missing values : 1977,N
jernsum1,Iron (mg/day),C,mean : 12.03 ; min : 0.18 ; max : 230.16 ; sd : 5.37; missing values : 16892,mean : 12.2 ; min : 1.88 ; max : 59.08 ; sd : 4.25; missing values : 1977,Y
JODIsum1,Iodine (µg/day),C,mean : 122.19 ; min : 1.87 ; max : 2918.85 ; sd : 64.26; missing values : 16892,mean : 120.91 ; min : 5.53 ; max : 649.79 ; sd : 50.23; missing values : 1977,Y
kalcsum1,Calcium (mg/day),C,mean : 765.83 ; min : 7.52 ; max : 7104.62 ; sd : 379.42; missing values : 16892,mean : 782.27 ; min : 92.1 ; max : 3448.6 ; sd : 336.66; missing values : 1977,Y
KALIsum1,Potassium (mg/day),C,mean : 3118.3 ; min : 30.04 ; max : 40451.29 ; sd : 1199.97; missing values : 16892,mean : 3197.63 ; min : 685.88 ; max : 14480.73 ; sd : 987.33; missing values : 1977,Y
l2a1,Have not taken supplements during the past year,D,0 : 1 ; 1 : 85044 ; missing values : 83285,1 : 37227 ; missing values : 31763,N
l2b1,Have not taken supplements during the past 14 days,D,1 : 29129 ; 7 : 1 ; missing values : 139200,1 : 13218 ; missing values : 55772,N
l2a2,Have you taken multivitamins during the past year?,D,0 : 1 ; 1 : 10110 ; missing values : 158219,1 : 4806 ; missing values : 64184,N
l2b2,Have you taken multivitamins during the last 14 days?,D,0 : 1 ; 1 : 9096 ; missing values : 159233,1 : 7666 ; missing values : 61324,N
l2a3,Have you taken multiminerals during the past year?,D,1 : 4156 ; 5 : 1 ; missing values : 164173,1 : 3141 ; missing values : 65849,N
l2b3,Have you taken multiminerals during the last 14 days?,D,0 : 1 ; 1 : 19127 ; missing values : 149202,1 : 1543 ; missing values : 67447,N
l2a4,Have you taken iron supplements during the past year?,D,0 : 1 ; 1 : 90543 ; missing values : 77786,1 : 4245 ; missing values : 64745,N
l2b4,Have you taken iron supplements during the last 14 days?,D,1 : 16966 ; 2 : 1 ; missing values : 151363,1 : 1543 ; missing values : 67447,N
l2a5,Have you taken selenium supplements during the past year?,D,1 : 6644 ; 5 : 1 ; missing values : 161685,1 : 1827 ; missing values : 67163,N
l2b5,Have you taken selenium supplements during the last 14 days?,D,1 : 3454 ; 5 : 1 ; missing values : 164875,1 : 1087 ; missing values : 67903,N
l2a6,Have you taken other supplements during the past year?,D,1 : 2474 ; missing values : 165856,1 : 8448 ; missing values : 60542,N
l2b6,Have you taken other supplements during the last 14 days?,D,0 : 1 ; 1 : 16494 ; missing values : 151835,1 : 7334 ; missing values : 61656,N
l1,Breakfast habits (0-6):;0=only coffee/tea; 1=coffee/tea and sandwich; 2= coffee/tea and wheat buns or rusk; 3=sour milk; cereals; w/o sandwich; 4=porridge; w/o sandwich; 5=gruel; w/o sandwich; 6=do not eat breakfast at all NOTE! Alt. 0 is only available in the short FFQ; i.e. from 1996,D,0 : 5973 ; 1 : 64238 ; 2 : 3006 ; 3 : 48264 ; 4 : 16695 ; 5 : 2008 ; 6 : 5129 ; 9 : 115 ; missing values : 22902,0 : 1808 ; 1 : 28648 ; 2 : 1163 ; 3 : 22296 ; 4 : 7109 ; 5 : 928 ; 6 : 1962 ; 9 : 28 ; missing values : 5048,N
l2,Do you usually eat lunch? ;(1=yes; 2=no),D,1 : 25496 ; 2 : 3300 ; missing values : 139534,1 : 12414 ; 2 : 1268 ; missing values : 55308,N
l3,Do you usually eat dinner? ;(1=yes; 2=no),D,1 : 41036 ; 2 : 1372 ; 3 : 201 ; 9 : 6 ; missing values : 125715,1 : 15507 ; 2 : 566 ; 3 : 31 ; 9 : 2 ; missing values : 52884,N
l5a,Do you usually eat breakfast? ;(1=yes; 2=no) from 2000 (only available in DietVIP),D,0 : 1 ; 1 : 77711 ; 2 : 8791 ; 3 : 15 ; 4 : 3 ; 9 : 12 ; missing values : 81797,1 : 32697 ; 2 : 2946 ; 3 : 4 ; 9 : 2 ; missing values : 33341,N
l5b,Do you usually eat lunch? ;(1=yes; 2=no) from 2000 (only available in DietVIP),D,1 : 82718 ; 2 : 4914 ; 3 : 11 ; 4 : 6 ; 9 : 9 ; missing values : 80672,1 : 34111 ; 2 : 1881 ; 3 : 4 ; 4 : 1 ; 9 : 2 ; missing values : 32991,N
l5c,Do you usually eat dinner? ;(1=yes; 2=no) from 2000 (only available in DietVIP),D,1 : 86758 ; 2 : 1741 ; 3 : 6 ; 4 : 7 ; 9 : 2 ; missing values : 79816,1 : 35670 ; 2 : 673 ; 3 : 1 ; 4 : 4 ; missing values : 32642,N
besok1,Corrected variable besok. In the original dataset only besok is present. In the subset only besok1 is present.,,,1 : 33911 ; 2 : 34490 ; 3 : 589 ; missing values : 0,Y
efter_090901,Variable indicating whether the visit is before or after 2009-09-01. Present only in the subset. ; (Before=0 ; After=1),,,0 : 59602 ; 1 : 9388 ; missing values : 0,Y
,,,,,
,,,,,
,*measured different before and after 2009-09-01; variable “efter_090901” is missing; so probably variable “datum” will have to be used,,,,
